# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 7.140000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.397955e+02	1.199398e+02	1.198557e+02	1.379917e-02	6.523656e-03	7.275509e-03	-3.759265e-04	4.204157e-02	5.170287e-02	4.169588e-05	5.172372e-02	-5.168203e-02
2             	8.378006e+01	4.218110e+01	4.159896e+01	2.693312e-01	1.260413e-01	1.432899e-01	-8.624317e-03	2.910726e-01	-1.170006e+00	1.812248e-02	-1.160945e+00	1.179068e+00
3             	1.243906e+03	6.266343e+02	6.172715e+02	5.537388e+00	2.714691e+00	2.822697e+00	-5.400335e-02	4.681391e+00	1.043725e+02	-3.458251e-03	1.043707e+02	-1.043742e+02
4             	6.946098e+02	3.528367e+02	3.417731e+02	3.563618e+00	2.808905e-01	3.282728e+00	-1.500919e+00	5.531759e+00	-1.553076e+01	6.094419e-02	-1.550028e+01	1.556123e+01
5             	-2.705293e+01	-9.452271e+00	-1.760066e+01	3.579922e+00	-2.611052e-01	3.841027e+00	-2.051066e+00	4.074194e+00	-2.536891e+01	4.515366e-02	-2.534634e+01	2.539149e+01
6             	-2.672927e+02	-1.328347e+02	-1.344580e+02	2.036849e+00	4.863072e-01	1.550541e+00	-5.321171e-01	8.116796e-01	-2.121639e+01	1.254152e-02	-2.121011e+01	2.122266e+01
7             	-2.320807e+02	-1.161443e+02	-1.159364e+02	5.528733e-01	1.722170e+00	-1.169297e+00	1.445733e+00	-1.039594e-01	-1.237883e+01	-1.075486e-02	-1.238421e+01	1.237345e+01
8             	-2.022276e+02	-1.011357e+02	-1.010919e+02	-6.330484e-01	1.912663e+00	-2.545711e+00	2.229187e+00	-2.191940e-02	-1.001101e+01	-2.063814e-02	-1.002133e+01	1.000069e+01
9             	-1.658791e+02	-8.302520e+01	-8.285386e+01	-9.092925e-01	1.294489e+00	-2.203782e+00	1.749135e+00	-8.567175e-02	-8.647036e+00	-3.051050e-02	-8.662291e+00	8.631780e+00
10            	-7.865199e+01	-3.978932e+01	-3.886268e+01	-1.069196e+00	3.152311e-01	-1.384427e+00	8.498293e-01	-4.633191e-01	-7.031907e+00	-3.347408e-02	-7.048644e+00	7.015170e+00
11            	-3.162898e+01	-1.458492e+01	-1.704405e+01	-9.598232e-01	4.437830e-02	-1.004202e+00	5.242899e-01	1.229564e+00	-3.262965e+00	-3.606437e-02	-3.280997e+00	3.244933e+00
