# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 7.140000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.827942e+02	9.139824e+01	9.139599e+01	-3.725101e-04	-1.848044e-04	-1.877058e-04	1.450686e-06	1.127608e-03	-1.935923e-03	-2.511579e-05	-1.948481e-03	1.923365e-03
2             	7.976872e+01	3.980352e+01	3.996520e+01	9.954971e-02	5.450289e-02	4.504682e-02	4.728037e-03	-8.083784e-02	1.529696e-01	8.748491e-03	1.573438e-01	-1.485953e-01
3             	-1.788996e+02	-9.030975e+01	-8.858986e+01	-9.674246e-01	-4.828601e-01	-4.845644e-01	8.521598e-04	-8.599465e-01	-1.599061e+01	1.011130e-02	-1.598555e+01	1.599566e+01
4             	-1.745583e+02	-8.949779e+01	-8.506047e+01	8.971637e-01	4.513206e-01	4.458430e-01	2.738802e-03	-2.218663e+00	-1.750753e+01	-2.551776e-02	-1.752029e+01	1.749477e+01
5             	-6.688216e+01	-3.528409e+01	-3.159808e+01	1.815361e+00	9.126096e-01	9.027516e-01	4.928957e-03	-1.843004e+00	-2.520980e+00	-2.597625e-02	-2.533968e+00	2.507992e+00
6             	2.163835e+01	8.955674e+00	1.268268e+01	9.907083e-01	5.013439e-01	4.893643e-01	5.989802e-03	-1.863501e+00	5.479125e+00	-9.502069e-03	5.474374e+00	-5.483876e+00
7             	5.499022e+01	2.669903e+01	2.829119e+01	-5.154468e-01	-2.577634e-01	-2.576834e-01	-3.999131e-05	-7.960769e-01	5.737674e+00	-4.978896e-03	5.735185e+00	-5.740164e+00
8             	5.517688e+01	2.830510e+01	2.687177e+01	-1.475023e+00	-7.392268e-01	-7.357957e-01	-1.715569e-03	7.166645e-01	3.264126e+00	-1.101097e-02	3.258620e+00	-3.269631e+00
9             	4.296801e+01	2.222261e+01	2.074540e+01	-2.301319e+00	-1.157245e+00	-1.144073e+00	-6.586078e-03	7.386043e-01	1.052922e+00	-1.570885e-02	1.045067e+00	-1.060776e+00
10            	2.954039e+01	1.592225e+01	1.361815e+01	-2.766447e+00	-1.391236e+00	-1.375211e+00	-8.012606e-03	1.152050e+00	6.020989e-01	-1.852120e-02	5.928383e-01	-6.113595e-01
11            	1.987262e+01	1.160637e+01	8.266251e+00	-2.787723e+00	-1.401633e+00	-1.386090e+00	-7.771524e-03	1.670059e+00	8.211959e-01	-1.498956e-02	8.137012e-01	-8.286907e-01
12            	1.487109e+01	8.621483e+00	6.249612e+00	-2.734537e+00	-1.369836e+00	-1.364700e+00	-2.568011e-03	1.185936e+00	1.891066e+00	-1.378213e-02	1.884175e+00	-1.897957e+00
13            	1.205919e+01	7.264601e+00	4.794589e+00	-2.566705e+00	-1.279205e+00	-1.287500e+00	4.147281e-03	1.235006e+00	1.938914e+00	-1.043065e-02	1.933699e+00	-1.944130e+00
14            	9.418206e+00	5.554484e+00	3.863722e+00	-2.403922e+00	-1.193198e+00	-1.210723e+00	8.762640e-03	8.453807e-01	9.180572e-01	-1.156884e-02	9.122728e-01	-9.238416e-01
15            	6.869422e+00	4.455569e+00	2.413852e+00	-2.025502e+00	-1.000315e+00	-1.025187e+00	1.243621e-02	1.020858e+00	1.883270e-01	-1.421087e-02	1.812216e-01	-1.954325e-01
16            	4.530885e+00	3.216035e+00	1.314850e+00	-1.546023e+00	-7.569929e-01	-7.890296e-01	1.601834e-02	9.505924e-01	-2.696506e-01	-1.450725e-02	-2.769042e-01	2.623969e-01
17            	2.623235e+00	2.316049e+00	3.071866e-01	-1.100167e+00	-5.319572e-01	-5.682098e-01	1.812630e-02	1.004431e+00	-2.521465e-01	-1.238012e-02	-2.583366e-01	2.459565e-01
18            	1.158302e+00	1.549156e+00	-3.908543e-01	-6.827794e-01	-3.230551e-01	-3.597244e-01	1.833467e-02	9.700051e-01	-3.016425e-02	-7.129240e-03	-3.372887e-02	2.659963e-02
19            	1.725779e-01	1.031101e+00	-8.585228e-01	-4.028571e-01	-1.848669e-01	-2.179902e-01	1.656163e-02	9.448117e-01	1.797522e-01	-5.383237e-03	1.770606e-01	-1.824439e-01
20            	-4.179223e-01	5.938559e-01	-1.011778e+00	-1.795347e-01	-7.532765e-02	-1.042070e-01	1.443969e-02	8.028170e-01	2.486618e-01	-3.478435e-03	2.469226e-01	-2.504011e-01
21            	-7.137584e-01	4.207400e-01	-1.134498e+00	3.935020e-02	3.173896e-02	7.611242e-03	1.206386e-02	7.776192e-01	1.730348e-01	-1.670186e-03	1.721997e-01	-1.738699e-01
22            	-7.459649e-01	2.360298e-01	-9.819947e-01	2.211044e-01	1.196293e-01	1.014752e-01	9.077044e-03	6.090123e-01	8.145994e-02	-2.139460e-04	8.135297e-02	-8.156692e-02
23            	-5.875481e-01	6.614980e-02	-6.536979e-01	3.450907e-01	1.790955e-01	1.659953e-01	6.550098e-03	3.599238e-01	3.790210e-02	3.181526e-03	3.949286e-02	-3.631133e-02
24            	-3.302181e-01	-5.214140e-02	-2.780767e-01	3.981234e-01	2.031599e-01	1.949635e-01	4.098190e-03	1.129677e-01	1.503969e-01	7.190519e-03	1.539921e-01	-1.468016e-01
25            	8.127520e-03	-3.039316e-02	3.852068e-02	4.233921e-01	2.147371e-01	2.086549e-01	3.041094e-03	-3.445692e-02	3.176176e-01	9.446867e-03	3.223410e-01	-3.128942e-01
26            	3.374620e-01	5.342495e-02	2.840371e-01	4.149984e-01	2.090372e-01	2.059611e-01	1.538060e-03	-1.153061e-01	5.233928e-01	7.352010e-03	5.270688e-01	-5.197168e-01
27            	6.435488e-01	1.432793e-01	5.002695e-01	3.903291e-01	1.956479e-01	1.946813e-01	4.832973e-04	-1.784951e-01	6.320305e-01	1.278034e-04	6.320944e-01	-6.319666e-01
28            	8.967505e-01	2.558081e-01	6.409424e-01	3.384207e-01	1.683055e-01	1.701152e-01	-9.048633e-04	-1.925671e-01	5.880923e-01	-1.103383e-02	5.825754e-01	-5.936092e-01
29            	1.061809e+00	3.060994e-01	7.557098e-01	2.608477e-01	1.291626e-01	1.316851e-01	-1.261257e-03	-2.248052e-01	5.439582e-01	-2.141554e-02	5.332505e-01	-5.546660e-01
30            	1.152918e+00	2.879116e-01	8.650061e-01	1.868054e-01	9.185737e-02	9.494808e-02	-1.545357e-03	-2.885472e-01	5.387982e-01	-2.817760e-02	5.247094e-01	-5.528870e-01
31            	1.215272e+00	1.878030e-01	1.027469e+00	1.622278e-01	8.023663e-02	8.199113e-02	-8.772532e-04	-4.198331e-01	5.608360e-01	-3.227646e-02	5.446978e-01	-5.769742e-01
32            	1.239109e+00	-5.639750e-02	1.295507e+00	2.016963e-01	1.001667e-01	1.015296e-01	-6.814247e-04	-6.759521e-01	5.046631e-01	-3.417259e-02	4.875768e-01	-5.217494e-01
33            	1.246934e+00	-3.558785e-01	1.602813e+00	2.523256e-01	1.260114e-01	1.263142e-01	-1.513728e-04	-9.793457e-01	2.822853e-01	-3.390314e-02	2.653338e-01	-2.992369e-01
34            	1.258803e+00	-4.413594e-01	1.700162e+00	2.005329e-01	9.994711e-02	1.005858e-01	-3.193528e-04	-1.070761e+00	-5.465749e-02	-3.092939e-02	-7.012219e-02	3.919280e-02
35            	1.312121e+00	-2.177930e-01	1.529914e+00	-2.162186e-02	-1.144842e-02	-1.017345e-02	-6.374833e-04	-8.738538e-01	-2.658592e-01	-2.429682e-02	-2.780076e-01	2.537108e-01
36            	1.383494e+00	1.146926e-01	1.268802e+00	-3.268585e-01	-1.644979e-01	-1.623606e-01	-1.068632e-03	-5.770546e-01	-3.200342e-01	-1.626963e-02	-3.281690e-01	3.118994e-01
37            	1.404059e+00	3.681419e-01	1.035918e+00	-6.168568e-01	-3.096064e-01	-3.072504e-01	-1.178008e-03	-3.338878e-01	-3.628618e-01	-8.685009e-03	-3.672043e-01	3.585193e-01
38            	1.365981e+00	5.533895e-01	8.125914e-01	-8.523206e-01	-4.273743e-01	-4.249463e-01	-1.213969e-03	-1.296010e-01	-3.938478e-01	-3.212734e-03	-3.954542e-01	3.922415e-01
39            	1.289142e+00	7.078064e-01	5.813357e-01	-1.019276e+00	-5.107130e-01	-5.085631e-01	-1.074951e-03	6.323534e-02	-3.919716e-01	1.123081e-03	-3.914101e-01	3.925332e-01
40            	1.199856e+00	8.285538e-01	3.713020e-01	-1.118255e+00	-5.601497e-01	-5.581052e-01	-1.022277e-03	2.286259e-01	-3.863485e-01	3.701128e-03	-3.844979e-01	3.881991e-01
41            	1.115235e+00	8.853454e-01	2.298900e-01	-1.148631e+00	-5.751756e-01	-5.734550e-01	-8.603240e-04	3.277277e-01	-4.013279e-01	6.026014e-03	-3.983149e-01	4.043409e-01
42            	1.048482e+00	8.824408e-01	1.660410e-01	-1.109108e+00	-5.553802e-01	-5.537280e-01	-8.261105e-04	3.581999e-01	-4.244423e-01	7.714233e-03	-4.205851e-01	4.282994e-01
43            	1.000795e+00	8.479142e-01	1.528808e-01	-1.003208e+00	-5.023517e-01	-5.008567e-01	-7.474970e-04	3.475167e-01	-4.372308e-01	9.189647e-03	-4.326359e-01	4.418256e-01
44            	9.706907e-01	8.247390e-01	1.459517e-01	-8.429179e-01	-4.222460e-01	-4.206720e-01	-7.869982e-04	3.393937e-01	-4.335231e-01	9.868126e-03	-4.285890e-01	4.384572e-01
45            	9.508567e-01	8.453473e-01	1.055094e-01	-6.509313e-01	-3.262162e-01	-3.247151e-01	-7.505360e-04	3.699190e-01	-4.148817e-01	1.047980e-02	-4.096418e-01	4.201216e-01
46            	9.367676e-01	9.145698e-01	2.219782e-02	-4.529982e-01	-2.272718e-01	-2.257264e-01	-7.726828e-04	4.461860e-01	-3.922317e-01	1.066772e-02	-3.868979e-01	3.975656e-01
47            	9.234726e-01	1.016998e+00	-9.352568e-02	-2.707059e-01	-1.361681e-01	-1.345378e-01	-8.151304e-04	5.552620e-01	-3.715038e-01	1.108814e-02	-3.659597e-01	3.770478e-01
48            	9.101047e-01	1.126435e+00	-2.163299e-01	-1.208521e-01	-6.139997e-02	-5.945215e-02	-9.739111e-04	6.713822e-01	-3.590536e-01	1.132702e-02	-3.533901e-01	3.647171e-01
49            	8.959205e-01	1.218748e+00	-3.228270e-01	-1.002924e-02	-6.112291e-03	-3.916944e-03	-1.097674e-03	7.707872e-01	-3.526920e-01	1.146793e-02	-3.469581e-01	3.584260e-01
50            	8.806034e-01	1.270976e+00	-3.903729e-01	6.016303e-02	2.897003e-02	3.119300e-02	-1.111484e-03	8.306746e-01	-3.456083e-01	1.139960e-02	-3.399085e-01	3.513081e-01
51            	8.633990e-01	1.269404e+00	-4.060051e-01	9.374262e-02	4.575435e-02	4.798827e-02	-1.116957e-03	8.377046e-01	-3.388201e-01	1.103823e-02	-3.333009e-01	3.443392e-01
52            	8.449970e-01	1.216752e+00	-3.717546e-01	1.015206e-01	4.972896e-02	5.179166e-02	-1.031350e-03	7.942531e-01	-3.328002e-01	1.051281e-02	-3.275438e-01	3.380566e-01
53            	8.229428e-01	1.126162e+00	-3.032197e-01	9.648436e-02	4.740211e-02	4.908225e-02	-8.400672e-04	7.146911e-01	-3.270763e-01	9.884526e-03	-3.221340e-01	3.320186e-01
54            	8.010808e-01	1.020975e+00	-2.198947e-01	9.028148e-02	4.450399e-02	4.577750e-02	-6.367544e-04	6.204351e-01	-3.213969e-01	8.912999e-03	-3.169404e-01	3.258534e-01
55            	7.816101e-01	9.177267e-01	-1.361166e-01	8.806437e-02	4.355638e-02	4.450799e-02	-4.758031e-04	5.269216e-01	-3.202608e-01	7.673762e-03	-3.164239e-01	3.240977e-01
56            	7.661168e-01	8.238706e-01	-5.775377e-02	8.921887e-02	4.421229e-02	4.500658e-02	-3.971482e-04	4.408122e-01	-3.227161e-01	6.271572e-03	-3.195803e-01	3.258519e-01
