# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 6.840000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.897707e+02	9.484752e+01	9.492320e+01	6.893311e-02	6.986768e-02	-9.345657e-04	3.540112e-02	-3.783671e-02	-2.523305e+00	-1.542693e-02	-2.531019e+00	2.515592e+00
2             	7.773249e+01	3.856406e+01	3.916843e+01	1.707792e-02	1.423136e-02	2.846553e-03	5.692405e-03	-3.021857e-01	-3.341992e-01	-1.541383e-02	-3.419061e-01	3.264923e-01
3             	-2.701542e+02	-1.391577e+02	-1.309965e+02	6.094918e+00	2.024777e+00	4.070141e+00	-1.022682e+00	-4.080599e+00	-3.010564e+01	4.211435e-01	-2.989507e+01	3.031621e+01
4             	-2.426176e+02	-1.174040e+02	-1.252136e+02	1.093363e+01	4.058932e+00	6.874702e+00	-1.407885e+00	3.904789e+00	-1.552093e+01	-2.950389e-01	-1.566845e+01	1.537341e+01
5             	-1.101460e+02	-4.727789e+01	-6.286809e+01	1.064364e+01	3.800857e+00	6.842778e+00	-1.520961e+00	7.795103e+00	-1.149233e+01	-4.265533e-01	-1.170561e+01	1.127905e+01
6             	1.759883e+01	1.276489e+01	4.833939e+00	4.260713e+00	-1.330856e-01	4.393799e+00	-2.263442e+00	3.965477e+00	-6.800358e+00	-2.338333e-01	-6.917275e+00	6.683441e+00
7             	8.815251e+01	4.734053e+01	4.081199e+01	2.491440e+00	-9.371955e-01	3.428635e+00	-2.182915e+00	3.264272e+00	-3.628155e+00	-1.169811e-01	-3.686646e+00	3.569664e+00
8             	1.118212e+02	6.002677e+01	5.179439e+01	5.112951e-01	-9.767025e-01	1.487998e+00	-1.232350e+00	4.116190e+00	-5.066390e+00	-6.104844e-02	-5.096914e+00	5.035866e+00
9             	1.041735e+02	5.514128e+01	4.903220e+01	-4.578060e+00	-2.893600e+00	-1.684460e+00	-6.045700e-01	3.054543e+00	-5.341373e+00	-3.914830e-02	-5.360947e+00	5.321799e+00
10            	7.726559e+01	4.043961e+01	3.682599e+01	-8.298576e+00	-4.467765e+00	-3.830810e+00	-3.184774e-01	1.806811e+00	-4.728785e+00	-2.323040e-02	-4.740400e+00	4.717170e+00
11            	4.512819e+01	2.200739e+01	2.312080e+01	-1.153926e+01	-6.224759e+00	-5.314501e+00	-4.551290e-01	-5.567060e-01	-4.144459e+00	-1.584870e-02	-4.152383e+00	4.136534e+00
12            	1.936609e+01	5.817502e+00	1.354859e+01	-1.226394e+01	-6.483447e+00	-5.780496e+00	-3.514755e-01	-3.865545e+00	-3.658475e+00	-1.166384e-02	-3.664307e+00	3.652643e+00
13            	3.437397e+00	-3.228067e+00	6.665463e+00	-1.292532e+01	-6.754282e+00	-6.171033e+00	-2.916246e-01	-4.946765e+00	-4.506592e+00	-7.750538e-03	-4.510467e+00	4.502717e+00
14            	-2.000322e+00	-5.968952e+00	3.968631e+00	-1.225604e+01	-6.219392e+00	-6.036643e+00	-9.137431e-02	-4.968791e+00	-4.834083e+00	-5.801733e-03	-4.836984e+00	4.831182e+00
15            	-8.951409e-01	-5.907432e+00	5.012291e+00	-1.165918e+01	-5.745423e+00	-5.913754e+00	8.416578e-02	-5.459862e+00	-4.216267e+00	-9.317892e-03	-4.220926e+00	4.211609e+00
16            	2.671524e+00	-4.637958e+00	7.309482e+00	-1.138379e+01	-5.487271e+00	-5.896514e+00	2.046214e-01	-5.973720e+00	-4.159535e+00	-1.505153e-02	-4.167061e+00	4.152010e+00
17            	6.407704e+00	-2.113482e+00	8.521186e+00	-1.073175e+01	-5.161255e+00	-5.570497e+00	2.046210e-01	-5.317334e+00	-2.502378e+00	-1.637844e-02	-2.510567e+00	2.494189e+00
18            	8.395848e+00	8.374732e-01	7.558375e+00	-9.571077e+00	-4.575610e+00	-4.995466e+00	2.099279e-01	-3.360451e+00	-1.250373e+00	-9.967312e-03	-1.255357e+00	1.245389e+00
19            	8.101184e+00	1.995039e+00	6.106145e+00	-7.571757e+00	-3.646786e+00	-3.924972e+00	1.390930e-01	-2.055553e+00	-1.217177e-01	-7.666075e-03	-1.255508e-01	1.178847e-01
20            	6.255638e+00	2.426592e+00	3.829046e+00	-5.465167e+00	-2.653828e+00	-2.811339e+00	7.875528e-02	-7.012274e-01	5.072426e-02	-2.808478e-03	4.932002e-02	-5.212850e-02
21            	4.207931e+00	2.288523e+00	1.919408e+00	-4.622296e+00	-2.240741e+00	-2.381554e+00	7.040647e-02	1.845573e-01	-1.443986e-01	-2.123114e-03	-1.454602e-01	1.433371e-01
22            	2.373164e+00	2.224364e+00	1.488002e-01	-3.760035e+00	-1.814166e+00	-1.945869e+00	6.585119e-02	1.037782e+00	-1.203931e-01	-2.975157e-03	-1.218807e-01	1.189056e-01
23            	9.753396e-01	2.299529e+00	-1.324190e+00	-2.921122e+00	-1.399085e+00	-1.522037e+00	6.147595e-02	1.811859e+00	5.678557e-02	-5.621634e-04	5.650449e-02	-5.706665e-02
24            	3.179757e-01	2.363295e+00	-2.045320e+00	-2.299975e+00	-1.105711e+00	-1.194264e+00	4.427668e-02	2.204308e+00	1.425713e-01	1.627159e-03	1.433849e-01	-1.417577e-01
25            	8.454643e-02	2.397165e+00	-2.312618e+00	-1.755556e+00	-8.587538e-01	-8.968023e-01	1.902424e-02	2.354892e+00	1.699959e-01	2.628001e-03	1.713099e-01	-1.686819e-01
26            	1.694135e-01	2.356922e+00	-2.187508e+00	-1.359637e+00	-6.931413e-01	-6.664957e-01	-1.332283e-02	2.272215e+00	1.053615e-01	3.028775e-03	1.068759e-01	-1.038471e-01
27            	3.738125e-01	2.258421e+00	-1.884609e+00	-1.022533e+00	-5.462423e-01	-4.762904e-01	-3.497595e-02	2.071515e+00	5.192336e-03	2.468803e-04	5.315776e-03	-5.068896e-03
28            	5.455674e-01	2.144806e+00	-1.599238e+00	-7.994985e-01	-4.534575e-01	-3.460410e-01	-5.370824e-02	1.872022e+00	1.482429e-03	-4.064950e-03	-5.500458e-04	-3.514904e-03
29            	6.816908e-01	2.022199e+00	-1.340508e+00	-6.321170e-01	-3.729709e-01	-2.591461e-01	-5.691240e-02	1.681354e+00	1.313178e-01	-9.261803e-03	1.266869e-01	-1.359488e-01
30            	7.430283e-01	1.885186e+00	-1.142157e+00	-5.146757e-01	-3.145231e-01	-2.001526e-01	-5.718521e-02	1.513672e+00	2.619286e-01	-1.479326e-02	2.545320e-01	-2.693252e-01
31            	8.053941e-01	1.757681e+00	-9.522869e-01	-4.111518e-01	-2.556489e-01	-1.555029e-01	-5.007302e-02	1.354984e+00	3.739409e-01	-1.880955e-02	3.645361e-01	-3.833457e-01
32            	8.775468e-01	1.721698e+00	-8.441516e-01	-3.063720e-01	-1.977417e-01	-1.086303e-01	-4.455571e-02	1.282925e+00	3.747061e-01	-1.873192e-02	3.653401e-01	-3.840720e-01
33            	9.304267e-01	1.770641e+00	-8.402143e-01	-2.218446e-01	-1.463919e-01	-7.545271e-02	-3.546958e-02	1.305428e+00	3.044934e-01	-1.563548e-02	2.966756e-01	-3.123111e-01
34            	9.401605e-01	1.934123e+00	-9.939624e-01	-1.737242e-01	-1.142881e-01	-5.943606e-02	-2.742602e-02	1.464043e+00	2.473319e-01	-1.129780e-02	2.416830e-01	-2.529808e-01
35            	9.149211e-01	2.221526e+00	-1.306605e+00	-1.732253e-01	-1.079689e-01	-6.525640e-02	-2.135626e-02	1.764065e+00	1.748276e-01	-8.102569e-03	1.707763e-01	-1.788789e-01
36            	8.486556e-01	2.604045e+00	-1.755390e+00	-2.109324e-01	-1.230049e-01	-8.792750e-02	-1.753869e-02	2.179717e+00	1.284108e-01	-6.066897e-03	1.253774e-01	-1.314442e-01
