# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.140000e-02
# Aref        : 6.840000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.897707e+02	9.484328e+01	9.492744e+01	6.893311e-02	7.383790e-02	-4.904785e-03	3.937134e-02	-4.208008e-02	-2.806293e+00	-1.542693e-02	-2.814006e+00	2.798579e+00
2             	7.773249e+01	3.853017e+01	3.920232e+01	1.707792e-02	1.486976e-02	2.208152e-03	6.330806e-03	-3.360757e-01	-3.716795e-01	-1.541383e-02	-3.793864e-01	3.639726e-01
3             	-2.701542e+02	-1.396153e+02	-1.305389e+02	6.094918e+00	1.910083e+00	4.184835e+00	-1.137376e+00	-4.538236e+00	-3.348197e+01	4.211435e-01	-3.327140e+01	3.369254e+01
4             	-2.426176e+02	-1.169661e+02	-1.256515e+02	1.093363e+01	3.901038e+00	7.032596e+00	-1.565779e+00	4.342709e+00	-1.726159e+01	-2.950389e-01	-1.740911e+01	1.711407e+01
5             	-1.101460e+02	-4.640367e+01	-6.374231e+01	1.064364e+01	3.630282e+00	7.013353e+00	-1.691536e+00	8.669320e+00	-1.278119e+01	-4.265533e-01	-1.299447e+01	1.256791e+01
6             	1.759883e+01	1.320962e+01	4.389213e+00	4.260713e+00	-3.869296e-01	4.647643e+00	-2.517286e+00	4.410203e+00	-7.563015e+00	-2.338333e-01	-7.679931e+00	7.446098e+00
7             	8.815251e+01	4.770662e+01	4.044590e+01	2.491440e+00	-1.182008e+00	3.673448e+00	-2.427728e+00	3.630359e+00	-4.035051e+00	-1.169811e-01	-4.093541e+00	3.976560e+00
8             	1.118212e+02	6.048840e+01	5.133276e+01	5.112951e-01	-1.114910e+00	1.626205e+00	-1.370557e+00	4.577818e+00	-5.634583e+00	-6.104844e-02	-5.665108e+00	5.604059e+00
9             	1.041735e+02	5.548385e+01	4.868963e+01	-4.578060e+00	-2.961402e+00	-1.616658e+00	-6.723722e-01	3.397109e+00	-5.940405e+00	-3.914830e-02	-5.959980e+00	5.920831e+00
10            	7.726559e+01	4.064224e+01	3.662335e+01	-8.298576e+00	-4.503482e+00	-3.795093e+00	-3.541945e-01	2.009444e+00	-5.259116e+00	-2.323040e-02	-5.270731e+00	5.247501e+00
11            	4.512819e+01	2.194495e+01	2.318323e+01	-1.153926e+01	-6.275801e+00	-5.263458e+00	-5.061715e-01	-6.191404e-01	-4.609258e+00	-1.584870e-02	-4.617182e+00	4.601334e+00
12            	1.936609e+01	5.383983e+00	1.398211e+01	-1.226394e+01	-6.522864e+00	-5.741078e+00	-3.908933e-01	-4.299064e+00	-4.068771e+00	-1.166384e-02	-4.074603e+00	4.062939e+00
13            	3.437397e+00	-3.782844e+00	7.220241e+00	-1.292532e+01	-6.786988e+00	-6.138327e+00	-3.243302e-01	-5.501542e+00	-5.012004e+00	-7.750538e-03	-5.015879e+00	5.008129e+00
14            	-2.000322e+00	-6.526200e+00	4.525878e+00	-1.225604e+01	-6.229640e+00	-6.026396e+00	-1.016219e-01	-5.526039e+00	-5.376223e+00	-5.801733e-03	-5.379124e+00	5.373322e+00
15            	-8.951409e-01	-6.519753e+00	5.624612e+00	-1.165918e+01	-5.735984e+00	-5.923193e+00	9.360494e-02	-6.072183e+00	-4.689120e+00	-9.317892e-03	-4.693779e+00	4.684461e+00
16            	2.671524e+00	-5.307908e+00	7.979432e+00	-1.138379e+01	-5.464323e+00	-5.919462e+00	2.275696e-01	-6.643670e+00	-4.626025e+00	-1.505153e-02	-4.633551e+00	4.618499e+00
17            	6.407704e+00	-2.709818e+00	9.117523e+00	-1.073175e+01	-5.138307e+00	-5.593445e+00	2.275691e-01	-5.913671e+00	-2.783018e+00	-1.637844e-02	-2.791208e+00	2.774829e+00
18            	8.395848e+00	4.606002e-01	7.935248e+00	-9.571077e+00	-4.552067e+00	-5.019010e+00	2.334712e-01	-3.737324e+00	-1.390602e+00	-9.967312e-03	-1.395586e+00	1.385618e+00
19            	8.101184e+00	1.764510e+00	6.336675e+00	-7.571757e+00	-3.631187e+00	-3.940571e+00	1.546922e-01	-2.286082e+00	-1.353683e-01	-7.666075e-03	-1.392013e-01	1.315353e-01
