# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 1.940000e-02
# Aref        : 6.484000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.998109e+02	9.990277e+01	9.990818e+01	5.422363e+00	5.124340e+00	2.980233e-01	2.413158e+00	-2.706720e-03	-1.929128e-04	3.664468e-05	-1.745905e-04	2.112351e-04
2             	7.496519e+01	3.759770e+01	3.736749e+01	6.262193e+00	3.026537e+00	3.235656e+00	-1.045592e-01	1.151091e-01	-3.187016e-01	3.447027e-03	-3.169781e-01	3.204251e-01
3             	1.159601e+02	5.091548e+01	6.504459e+01	-1.021413e+02	-7.850877e+01	-2.363253e+01	-2.743812e+01	-7.064553e+00	7.173552e-01	2.390621e-02	7.293083e-01	-7.054021e-01
4             	9.209636e+00	-5.283007e+00	1.449264e+01	-1.073529e+02	-7.430592e+01	-3.304695e+01	-2.062949e+01	-9.887825e+00	-1.280925e+00	-9.163350e-02	-1.326741e+00	1.235108e+00
5             	2.525897e+01	1.789173e+00	2.346979e+01	-1.527978e+02	-8.600153e+01	-6.679623e+01	-9.602649e+00	-1.084031e+01	2.965981e+00	-8.902005e-02	2.921471e+00	-3.010491e+00
6             	7.319121e+01	2.499164e+01	4.819958e+01	-1.596123e+02	-7.932422e+01	-8.028809e+01	4.819330e-01	-1.160397e+01	4.734281e+00	-4.742400e-02	4.710569e+00	-4.757993e+00
7             	9.936770e+01	3.962412e+01	5.974358e+01	-1.312298e+02	-5.990714e+01	-7.132262e+01	5.707741e+00	-1.005973e+01	4.120668e+00	-3.653699e-02	4.102399e+00	-4.138936e+00
8             	9.189228e+01	3.735819e+01	5.453409e+01	-1.002169e+02	-4.548522e+01	-5.473168e+01	4.623228e+00	-8.587955e+00	2.946433e+00	-2.925176e-02	2.931807e+00	-2.961059e+00
9             	7.158935e+01	2.635886e+01	4.523049e+01	-6.495811e+01	-3.121305e+01	-3.374506e+01	1.266009e+00	-9.435811e+00	4.051223e+00	-4.859969e-02	4.026923e+00	-4.075522e+00
10            	4.926981e+01	1.466036e+01	3.460945e+01	-3.100040e+01	-1.700215e+01	-1.399825e+01	-1.501953e+00	-9.974546e+00	3.440736e+00	-2.039949e-02	3.430536e+00	-3.450936e+00
11            	2.497814e+01	3.507158e+00	2.147098e+01	-8.333079e+00	-7.223662e+00	-1.109417e+00	-3.057122e+00	-8.981910e+00	1.838341e+00	-5.710304e-03	1.835486e+00	-1.841197e+00
12            	4.975695e+00	-4.004986e+00	8.980681e+00	3.032201e+00	-2.175357e+00	5.207558e+00	-3.691457e+00	-6.492834e+00	8.897939e-01	-4.718206e-03	8.874348e-01	-8.921530e-01
13            	-8.270142e+00	-8.569547e+00	2.994047e-01	4.091002e+00	-1.922606e+00	6.013608e+00	-3.968107e+00	-4.434476e+00	5.855100e-01	2.802476e-04	5.856501e-01	-5.853698e-01
14            	-1.464375e+01	-1.057697e+01	-4.066785e+00	-1.001089e+00	-4.745459e+00	3.744370e+00	-4.244915e+00	-3.255091e+00	1.262174e+00	6.938031e-03	1.265643e+00	-1.258705e+00
15            	-1.194876e+01	-8.356149e+00	-3.592615e+00	-5.674331e+00	-6.692945e+00	1.018614e+00	-3.855779e+00	-2.381767e+00	7.619847e-01	1.538579e-02	7.696776e-01	-7.542918e-01
16            	-5.357540e+00	-4.937929e+00	-4.196107e-01	-8.832556e+00	-7.363056e+00	-1.469501e+00	-2.946778e+00	-2.259159e+00	6.383803e-01	2.856843e-02	6.526645e-01	-6.240961e-01
17            	-1.811271e+00	-3.199889e+00	1.388619e+00	-9.880222e+00	-6.886524e+00	-2.993699e+00	-1.946412e+00	-2.294254e+00	-1.093103e-01	3.884039e-02	-8.989008e-02	1.287305e-01
18            	-7.508468e-01	-1.672187e+00	9.213401e-01	-8.229348e+00	-5.195823e+00	-3.033525e+00	-1.081149e+00	-1.296764e+00	-5.921239e-02	3.917412e-02	-3.962533e-02	7.879945e-02
19            	-1.110833e+00	-1.005362e+00	-1.054709e-01	-6.223483e+00	-3.647955e+00	-2.575528e+00	-5.362132e-01	-4.499455e-01	5.961148e-01	3.635480e-02	6.142922e-01	-5.779374e-01
20            	-1.669858e+00	3.634287e-01	-2.033287e+00	-4.764981e+00	-2.520687e+00	-2.244295e+00	-1.381960e-01	1.198358e+00	2.964161e-01	3.094860e-02	3.118904e-01	-2.809418e-01
21            	-1.933192e+00	3.896989e-01	-2.322891e+00	-3.923870e+00	-1.924545e+00	-1.999325e+00	3.738992e-02	1.356295e+00	-5.559512e-01	2.242670e-02	-5.447378e-01	5.671645e-01
22            	-1.900443e+00	7.574582e-02	-1.976189e+00	-3.194153e+00	-1.530069e+00	-1.664084e+00	6.700713e-02	1.025967e+00	-1.012631e+00	1.174926e-02	-1.006756e+00	1.018505e+00
23            	-1.665598e+00	-3.123110e-01	-1.353287e+00	-2.705341e+00	-1.323648e+00	-1.381693e+00	2.902251e-02	5.204882e-01	-1.345174e+00	2.728259e-03	-1.343810e+00	1.346538e+00
24            	-1.140267e+00	-3.118208e-01	-8.284465e-01	-2.330912e+00	-1.227156e+00	-1.103756e+00	-6.170033e-02	2.583128e-01	-1.390210e+00	-1.419332e-03	-1.390919e+00	1.389500e+00
25            	-5.948865e-01	-3.203150e-01	-2.745715e-01	-1.998140e+00	-1.140569e+00	-8.575703e-01	-1.414994e-01	-2.287172e-02	-1.232390e+00	-1.827184e-03	-1.233303e+00	1.231476e+00
26            	8.340137e-03	-1.377419e-01	1.460821e-01	-1.698825e+00	-1.032187e+00	-6.666384e-01	-1.827741e-01	-1.419120e-01	-1.168097e+00	1.015144e-04	-1.168046e+00	1.168148e+00
27            	5.685654e-01	1.519660e-01	4.165994e-01	-1.395743e+00	-8.922678e-01	-5.034754e-01	-1.943962e-01	-1.323167e-01	-9.566711e-01	2.578222e-03	-9.553820e-01	9.579602e-01
28            	1.060524e+00	5.323875e-01	5.281365e-01	-1.114937e+00	-7.393845e-01	-3.755524e-01	-1.819161e-01	2.125487e-03	-7.341332e-01	4.939023e-03	-7.316637e-01	7.366027e-01
29            	1.519866e+00	9.705501e-01	5.493158e-01	-8.961992e-01	-6.051916e-01	-2.910076e-01	-1.570920e-01	2.106171e-01	-5.542923e-01	8.993277e-03	-5.497957e-01	5.587889e-01
30            	1.969493e+00	1.397170e+00	5.723234e-01	-7.301772e-01	-4.941559e-01	-2.360213e-01	-1.290673e-01	4.124233e-01	-5.850389e-01	1.313717e-02	-5.784704e-01	5.916075e-01
31            	2.383998e+00	1.629963e+00	7.540354e-01	-6.537343e-01	-4.282589e-01	-2.254754e-01	-1.013918e-01	4.379637e-01	-6.533545e-01	1.568104e-02	-6.455140e-01	6.611950e-01
32            	2.749896e+00	1.635473e+00	1.114424e+00	-6.693225e-01	-3.998379e-01	-2.694846e-01	-6.517662e-02	2.605243e-01	-6.771281e-01	1.779088e-02	-6.682327e-01	6.860236e-01
33            	2.986434e+00	1.519506e+00	1.466928e+00	-8.278564e-01	-4.350685e-01	-3.927879e-01	-2.114029e-02	2.628932e-02	-6.183760e-01	2.058935e-02	-6.080813e-01	6.286707e-01
34            	3.076221e+00	1.340939e+00	1.735282e+00	-1.124083e+00	-5.367394e-01	-5.873439e-01	2.530225e-02	-1.971720e-01	-3.663559e-01	2.378012e-02	-3.544658e-01	3.782459e-01
35            	3.067720e+00	1.176116e+00	1.891603e+00	-1.510152e+00	-6.942438e-01	-8.159087e-01	6.083244e-02	-3.577436e-01	-2.775276e-03	2.597789e-02	1.021367e-02	1.576422e-02
36            	3.010882e+00	1.072797e+00	1.938086e+00	-1.882795e+00	-8.617906e-01	-1.021004e+00	7.960684e-02	-4.326444e-01	3.834129e-01	2.763139e-02	3.972286e-01	-3.695972e-01
37            	2.915194e+00	1.097963e+00	1.817230e+00	-2.178087e+00	-1.011986e+00	-1.166101e+00	7.705779e-02	-3.596335e-01	7.729406e-01	2.888619e-02	7.873837e-01	-7.584975e-01
38            	2.764503e+00	1.280204e+00	1.484298e+00	-2.358206e+00	-1.117927e+00	-1.240279e+00	6.117619e-02	-1.020470e-01	1.202957e+00	2.989326e-02	1.217903e+00	-1.188010e+00
39            	2.534030e+00	1.733861e+00	8.001685e-01	-2.446934e+00	-1.184238e+00	-1.262696e+00	3.922902e-02	4.668463e-01	1.601136e+00	3.056007e-02	1.616416e+00	-1.585856e+00
40            	2.228404e+00	2.374845e+00	-1.464412e-01	-2.459659e+00	-1.212356e+00	-1.247303e+00	1.747314e-02	1.260643e+00	1.904616e+00	3.108691e-02	1.920159e+00	-1.889072e+00
41            	1.874370e+00	3.085137e+00	-1.210768e+00	-2.422365e+00	-1.209736e+00	-1.212628e+00	1.445878e-03	2.147952e+00	2.062504e+00	3.136290e-02	2.078185e+00	-2.046822e+00
42            	1.524537e+00	3.739939e+00	-2.215402e+00	-2.371054e+00	-1.193131e+00	-1.177924e+00	-7.603648e-03	2.977671e+00	1.989456e+00	3.095163e-02	2.004932e+00	-1.973980e+00
43            	1.220514e+00	4.206982e+00	-2.986468e+00	-2.325172e+00	-1.173179e+00	-1.151993e+00	-1.059305e-02	3.596725e+00	1.734997e+00	3.054850e-02	1.750272e+00	-1.719723e+00
