# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 7.140000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.427594e+02	1.231151e+02	1.196442e+02	1.990060e+00	1.570528e+00	4.195316e-01	5.754984e-01	1.735469e+00	-2.279683e+00	-4.268722e-04	-2.279896e+00	2.279469e+00
2             	9.040199e+01	4.561580e+01	4.478618e+01	1.840306e-01	3.760877e-01	-1.920571e-01	2.840724e-01	4.148084e-01	-6.632346e-01	1.028439e-02	-6.580924e-01	6.683768e-01
3             	9.008455e+02	4.414983e+02	4.593472e+02	-1.014718e+01	-8.072281e+00	-2.074901e+00	-2.998690e+00	-8.924470e+00	-3.513398e+01	-8.334906e-02	-3.517566e+01	3.509231e+01
4             	1.868598e+02	8.444078e+01	1.024190e+02	-1.632703e+01	-2.593426e+01	9.607227e+00	-1.777074e+01	-8.989113e+00	-3.772064e+00	2.968224e-02	-3.757223e+00	3.786905e+00
5             	5.390622e+01	1.924964e+01	3.465658e+01	1.169492e+00	-1.038473e+01	1.155422e+01	-1.096947e+01	-7.703470e+00	-1.311657e+01	-3.989443e-02	-1.313651e+01	1.309662e+01
6             	9.601730e+00	-1.332938e+00	1.093467e+01	9.312917e+00	-1.675461e+00	1.098838e+01	-6.331920e+00	-6.133803e+00	-1.028166e+01	-3.835281e-02	-1.030084e+01	1.026249e+01
7             	1.876232e+01	2.713210e+00	1.604911e+01	6.503023e+00	-4.513972e-01	6.954420e+00	-3.702909e+00	-6.667949e+00	-6.630614e+00	-8.098423e-02	-6.671106e+00	6.590121e+00
8             	2.998416e+01	8.045423e+00	2.193873e+01	3.588749e-01	-1.801396e+00	2.160271e+00	-1.980834e+00	-6.946655e+00	-5.335853e+00	-5.562789e-02	-5.363667e+00	5.308039e+00
9             	2.776732e+01	7.725018e+00	2.004230e+01	-2.325696e+00	-2.342300e+00	1.660420e-02	-1.179452e+00	-6.158642e+00	-5.361318e+00	-4.358534e-02	-5.383110e+00	5.339525e+00
10            	2.790214e+01	9.155720e+00	1.874642e+01	-5.701488e+00	-3.824555e+00	-1.876933e+00	-9.738113e-01	-4.795352e+00	-7.980583e+00	-2.966519e-02	-7.995416e+00	7.965750e+00
11            	2.592391e+01	1.073378e+01	1.519013e+01	-6.593714e+00	-4.166628e+00	-2.427087e+00	-8.697705e-01	-2.228177e+00	-8.264380e+00	-4.320449e-02	-8.285983e+00	8.242778e+00
12            	2.115605e+01	8.400196e+00	1.275585e+01	-7.255994e+00	-4.582728e+00	-2.673265e+00	-9.547316e-01	-2.177829e+00	-7.417075e+00	-4.772967e-02	-7.440940e+00	7.393211e+00
13            	1.554129e+01	4.388218e+00	1.115307e+01	-7.162066e+00	-4.772125e+00	-2.389940e+00	-1.191092e+00	-3.382428e+00	-5.421499e+00	-4.684656e-02	-5.444922e+00	5.398076e+00
14            	1.129692e+01	1.155125e+00	1.014180e+01	-6.929204e+00	-4.903547e+00	-2.025657e+00	-1.438945e+00	-4.493336e+00	-3.557836e+00	-3.231749e-02	-3.573995e+00	3.541677e+00
15            	7.652812e+00	-8.313550e-01	8.484167e+00	-6.466967e+00	-4.831286e+00	-1.635682e+00	-1.597802e+00	-4.657761e+00	-2.346144e+00	-1.870358e-02	-2.355496e+00	2.336792e+00
16            	5.160774e+00	-1.381399e+00	6.542174e+00	-5.763646e+00	-4.360651e+00	-1.402996e+00	-1.478828e+00	-3.961786e+00	-1.981581e+00	-7.526363e-03	-1.985344e+00	1.977818e+00
17            	3.721590e+00	-1.617067e+00	5.338657e+00	-5.045989e+00	-3.840518e+00	-1.205471e+00	-1.317523e+00	-3.477862e+00	-2.917915e+00	-2.356642e-03	-2.919093e+00	2.916737e+00
18            	3.041663e+00	-1.088987e+00	4.130650e+00	-4.230801e+00	-3.183209e+00	-1.047592e+00	-1.067808e+00	-2.609819e+00	-2.315387e+00	8.034209e-03	-2.311370e+00	2.319404e+00
19            	2.234849e+00	-6.869382e-01	2.921787e+00	-3.445665e+00	-2.588432e+00	-8.572332e-01	-8.655993e-01	-1.804362e+00	-2.688888e+00	1.642347e-02	-2.680677e+00	2.697100e+00
20            	1.867279e+00	2.093442e-01	1.657935e+00	-2.690676e+00	-1.942654e+00	-7.480223e-01	-5.973158e-01	-7.242955e-01	-1.956504e+00	2.095272e-02	-1.946028e+00	1.966981e+00
21            	1.470501e+00	9.053847e-01	5.651159e-01	-2.091659e+00	-1.436523e+00	-6.551365e-01	-3.906933e-01	1.701344e-01	-2.104237e+00	2.248348e-02	-2.092995e+00	2.115479e+00
22            	1.333047e+00	1.739620e+00	-4.065729e-01	-1.561456e+00	-9.899025e-01	-5.715531e-01	-2.091747e-01	1.073096e+00	-1.561816e+00	2.574648e-02	-1.548943e+00	1.574689e+00
23            	1.111033e+00	2.203349e+00	-1.092315e+00	-1.135037e+00	-6.965603e-01	-4.384772e-01	-1.290416e-01	1.647832e+00	-1.446292e+00	2.581286e-02	-1.433386e+00	1.459199e+00
24            	9.153633e-01	2.386487e+00	-1.471124e+00	-8.491886e-01	-5.271577e-01	-3.220309e-01	-1.025634e-01	1.928805e+00	-1.415948e+00	2.551837e-02	-1.403188e+00	1.428707e+00
25            	8.325405e-01	2.312978e+00	-1.480437e+00	-6.580984e-01	-4.225872e-01	-2.355112e-01	-9.353802e-02	1.896708e+00	-1.414183e+00	2.022171e-02	-1.404072e+00	1.424294e+00
26            	8.178504e-01	2.180433e+00	-1.362583e+00	-5.259418e-01	-3.474778e-01	-1.784640e-01	-8.450688e-02	1.771508e+00	-1.367533e+00	1.729866e-02	-1.358884e+00	1.376182e+00
27            	8.967951e-01	1.939914e+00	-1.043119e+00	-4.275797e-01	-3.089521e-01	-1.186276e-01	-9.516229e-02	1.491516e+00	-9.494435e-01	1.208924e-02	-9.433989e-01	9.554881e-01
28            	8.998174e-01	1.752352e+00	-8.525349e-01	-3.990850e-01	-2.956822e-01	-1.034028e-01	-9.613968e-02	1.302444e+00	-7.629787e-01	1.110195e-02	-7.574277e-01	7.685296e-01
29            	8.846917e-01	1.539032e+00	-6.543398e-01	-4.036013e-01	-3.102767e-01	-9.332465e-02	-1.084760e-01	1.096686e+00	-4.373584e-01	1.043317e-02	-4.321418e-01	4.425750e-01
30            	9.634169e-01	1.540309e+00	-5.768921e-01	-4.101767e-01	-3.085053e-01	-1.016715e-01	-1.034169e-01	1.058601e+00	-7.243925e-02	1.085555e-02	-6.701147e-02	7.786702e-02
31            	1.138469e+00	1.642715e+00	-5.042455e-01	-3.837349e-01	-2.937316e-01	-9.000326e-02	-1.018642e-01	1.073480e+00	3.855282e-01	1.017222e-02	3.906143e-01	-3.804420e-01
32            	1.335253e+00	1.876808e+00	-5.415551e-01	-3.110879e-01	-2.536546e-01	-5.743332e-02	-9.811063e-02	1.209181e+00	8.049269e-01	1.058654e-02	8.102202e-01	-7.996336e-01
33            	1.512989e+00	2.113427e+00	-6.004386e-01	-2.115617e-01	-2.054925e-01	-6.069214e-03	-9.971165e-02	1.356933e+00	1.212711e+00	8.817237e-03	1.217120e+00	-1.208303e+00
34            	1.771877e+00	2.483152e+00	-7.112744e-01	-1.216887e-01	-1.641545e-01	4.246587e-02	-1.033102e-01	1.597213e+00	1.741334e+00	5.794084e-03	1.744231e+00	-1.738437e+00
35            	2.006726e+00	2.797743e+00	-7.910176e-01	-8.081011e-02	-1.382608e-01	5.745074e-02	-9.785579e-02	1.794380e+00	1.900540e+00	7.071810e-04	1.900894e+00	-1.900187e+00
36            	2.281511e+00	3.089831e+00	-8.083194e-01	-1.231486e-01	-1.543559e-01	3.120722e-02	-9.278154e-02	1.949075e+00	1.834189e+00	-6.246310e-03	1.831066e+00	-1.837312e+00
37            	2.408615e+00	3.223097e+00	-8.144818e-01	-2.491887e-01	-2.142408e-01	-3.494790e-02	-8.964646e-02	2.018789e+00	1.465418e+00	-1.086986e-02	1.459983e+00	-1.470852e+00
