# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 7.140000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.856129e+02	9.274105e+01	9.287182e+01	3.763054e-01	2.915707e-01	8.473468e-02	1.034180e-01	-6.538545e-02	3.108853e-01	1.009150e-04	3.109358e-01	-3.108349e-01
2             	7.916973e+01	3.948374e+01	3.968600e+01	5.205561e-02	4.781196e-03	4.727442e-02	-2.124661e-02	-1.011317e-01	-2.585742e-01	3.061253e-02	-2.432680e-01	2.738805e-01
3             	-1.712996e+02	-8.365399e+01	-8.764566e+01	-2.105568e+00	-2.417983e+00	3.124146e-01	-1.365199e+00	1.995835e+00	8.201134e+00	-7.163308e-03	8.197552e+00	-8.204715e+00
4             	-1.686143e+02	-8.635867e+01	-8.225560e+01	1.918967e+00	-3.697160e-01	2.288683e+00	-1.329199e+00	-2.051532e+00	-1.090000e-01	5.347171e-02	-8.226411e-02	1.357358e-01
5             	-6.491526e+01	-3.601065e+01	-2.890461e+01	5.238133e+00	1.543970e+00	3.694164e+00	-1.075097e+00	-3.553021e+00	6.137978e-02	-6.364442e-03	5.819756e-02	-6.456200e-02
6             	1.084297e+01	1.930607e+00	8.912359e+00	3.769486e+00	9.768363e-01	2.792649e+00	-9.079065e-01	-3.490876e+00	-9.850267e-01	-6.665729e-03	-9.883596e-01	9.816938e-01
7             	4.120672e+01	1.783036e+01	2.337636e+01	7.119193e-01	-4.416654e-01	1.153585e+00	-7.976250e-01	-2.773000e+00	-2.058637e+00	5.347478e-03	-2.055963e+00	2.061310e+00
8             	4.221609e+01	1.966566e+01	2.255043e+01	-2.763277e+00	-2.030202e+00	-7.330746e-01	-6.485638e-01	-1.442384e+00	-1.496026e+00	-3.241334e-03	-1.497647e+00	1.494406e+00
9             	3.358123e+01	1.566857e+01	1.791266e+01	-5.332935e+00	-3.135536e+00	-2.197399e+00	-4.690689e-01	-1.122042e+00	-8.463133e-01	-5.073394e-03	-8.488500e-01	8.437766e-01
10            	2.398426e+01	1.056226e+01	1.342200e+01	-6.035519e+00	-3.342541e+00	-2.692977e+00	-3.247822e-01	-1.429870e+00	-1.204481e-01	-8.515890e-03	-1.247060e-01	1.161901e-01
11            	1.576470e+01	5.997221e+00	9.767481e+00	-5.834063e+00	-3.139427e+00	-2.694636e+00	-2.223955e-01	-1.885130e+00	1.073616e-01	-8.855419e-03	1.029339e-01	-1.117893e-01
12            	1.172483e+01	3.926674e+00	7.798160e+00	-4.737614e+00	-2.586932e+00	-2.150682e+00	-2.181250e-01	-1.935743e+00	3.826625e-01	-3.236707e-03	3.810441e-01	-3.842808e-01
13            	8.940687e+00	2.817567e+00	6.123120e+00	-4.101118e+00	-2.354936e+00	-1.746181e+00	-3.043775e-01	-1.652776e+00	7.486171e-01	-4.890353e-03	7.461719e-01	-7.510623e-01
14            	6.587134e+00	1.915368e+00	4.671767e+00	-3.926143e+00	-2.336827e+00	-1.589316e+00	-3.737556e-01	-1.378200e+00	1.056507e+00	-7.216310e-03	1.052899e+00	-1.060115e+00
15            	4.534645e+00	1.617742e+00	2.916903e+00	-3.609581e+00	-2.192737e+00	-1.416844e+00	-3.879470e-01	-6.495808e-01	1.288902e+00	-7.122266e-03	1.285341e+00	-1.292463e+00
16            	2.736246e+00	1.091862e+00	1.644384e+00	-3.530230e+00	-2.101003e+00	-1.429227e+00	-3.358879e-01	-2.762612e-01	1.508080e+00	-7.352682e-03	1.504403e+00	-1.511756e+00
17            	1.342841e+00	7.806759e-01	5.621647e-01	-3.344425e+00	-1.902340e+00	-1.442085e+00	-2.301272e-01	1.092556e-01	1.224667e+00	-3.385998e-03	1.222974e+00	-1.226360e+00
18            	2.716188e-01	5.341374e-01	-2.625186e-01	-3.043598e+00	-1.624895e+00	-1.418703e+00	-1.030959e-01	3.983280e-01	1.255161e+00	-4.552833e-04	1.254933e+00	-1.255388e+00
19            	-3.753183e-01	3.700147e-01	-7.453330e-01	-2.664061e+00	-1.316830e+00	-1.347230e+00	1.520019e-02	5.576738e-01	1.037544e+00	-2.330607e-03	1.036379e+00	-1.038710e+00
20            	-7.021554e-01	3.459521e-01	-1.048108e+00	-2.303140e+00	-1.048618e+00	-1.254522e+00	1.029517e-01	6.970298e-01	1.054015e+00	-4.887668e-03	1.051571e+00	-1.056459e+00
21            	-9.104894e-01	1.650038e-01	-1.075493e+00	-1.914361e+00	-8.056822e-01	-1.108678e+00	1.514980e-01	6.202485e-01	7.378145e-01	-5.717732e-03	7.349556e-01	-7.406734e-01
22            	-9.518389e-01	9.510206e-02	-1.046941e+00	-1.570171e+00	-6.209576e-01	-9.492139e-01	1.641281e-01	5.710215e-01	5.460055e-01	-5.228223e-03	5.433914e-01	-5.486196e-01
23            	-9.236863e-01	8.457215e-02	-1.008258e+00	-1.265450e+00	-4.757706e-01	-7.896790e-01	1.569542e-01	5.464153e-01	2.106801e-01	-4.052782e-03	2.086537e-01	-2.127065e-01
24            	-8.128030e-01	1.029884e-01	-9.157915e-01	-1.022871e+00	-3.673079e-01	-6.555626e-01	1.441273e-01	5.093900e-01	8.951301e-02	-4.196964e-03	8.741453e-02	-9.161149e-02
25            	-6.727889e-01	1.856602e-01	-8.584491e-01	-8.020228e-01	-2.732199e-01	-5.288029e-01	1.277915e-01	5.220546e-01	-1.251990e-01	-4.316064e-03	-1.273570e-01	1.230410e-01
26            	-4.779601e-01	2.399692e-01	-7.179292e-01	-6.049844e-01	-1.929171e-01	-4.120674e-01	1.095752e-01	4.789492e-01	-1.674481e-01	-5.052136e-03	-1.699742e-01	1.649221e-01
27            	-2.384248e-01	3.612369e-01	-5.996617e-01	-4.526200e-01	-1.366836e-01	-3.159364e-01	8.962642e-02	4.804493e-01	-2.356008e-01	-5.229235e-03	-2.382154e-01	2.329862e-01
28            	4.335193e-04	4.122991e-01	-4.118655e-01	-3.445646e-01	-1.025035e-01	-2.420612e-01	6.977886e-02	4.120823e-01	-2.653192e-01	-5.396422e-03	-2.680174e-01	2.626210e-01
29            	2.292133e-01	4.510082e-01	-2.217948e-01	-2.623930e-01	-7.982233e-02	-1.825706e-01	5.137414e-02	3.364015e-01	-3.068670e-01	-3.474073e-03	-3.086041e-01	3.051300e-01
