# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 7.140000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.930567e+02	9.697742e+01	9.607929e+01	2.575107e+00	2.039434e+00	5.356729e-01	7.518808e-01	4.490639e-01	3.535463e-01	-5.616871e-04	3.532655e-01	-3.538271e-01
2             	8.727614e+01	4.379569e+01	4.348046e+01	1.119625e+00	9.699900e-01	1.496351e-01	4.101775e-01	1.576148e-01	5.035154e-01	9.973088e-03	5.085020e-01	-4.985289e-01
3             	-2.605682e+02	-1.293063e+02	-1.312619e+02	-1.473256e+01	-9.435232e+00	-5.297329e+00	-2.068952e+00	9.777910e-01	-1.258200e+01	1.128475e-02	-1.257636e+01	1.258765e+01
4             	-2.207046e+02	-1.062139e+02	-1.144907e+02	-1.282952e+01	-7.624696e+00	-5.204827e+00	-1.209934e+00	4.138407e+00	-1.100998e+01	7.401433e-02	-1.097298e+01	1.104699e+01
5             	-9.254556e+01	-4.239202e+01	-5.015354e+01	-6.241102e+00	-2.922135e+00	-3.318967e+00	1.984163e-01	3.880759e+00	-4.866140e+00	-3.160616e-03	-4.867721e+00	4.864560e+00
6             	7.880591e+00	7.286552e+00	5.940386e-01	-3.734603e+00	-1.255532e+00	-2.479071e+00	6.117694e-01	3.346257e+00	-1.580528e-03	-2.704348e-02	-1.510227e-02	-1.194121e-02
7             	4.998718e+01	2.623949e+01	2.374769e+01	-2.224466e+00	-5.746517e-01	-1.649814e+00	5.375813e-01	1.245898e+00	2.341056e+00	-3.177652e-02	2.325168e+00	-2.356944e+00
8             	5.700295e+01	2.815238e+01	2.885057e+01	-1.696573e+00	-6.759288e-01	-1.020644e+00	1.723577e-01	-3.490939e-01	2.102736e+00	-2.709670e-02	2.089188e+00	-2.116285e+00
9             	4.902309e+01	2.181708e+01	2.720601e+01	-2.426736e+00	-1.376408e+00	-1.050328e+00	-1.630397e-01	-2.694461e+00	1.850809e+00	-1.955211e-02	1.841032e+00	-1.860585e+00
10            	3.830250e+01	1.570879e+01	2.259371e+01	-3.251588e+00	-1.946663e+00	-1.304925e+00	-3.208693e-01	-3.442459e+00	1.848932e+00	-1.784603e-02	1.840009e+00	-1.857855e+00
11            	2.802066e+01	1.045150e+01	1.756915e+01	-3.764030e+00	-2.190710e+00	-1.573320e+00	-3.086949e-01	-3.558823e+00	2.064601e+00	-1.935029e-02	2.054926e+00	-2.074276e+00
12            	2.074419e+01	7.474891e+00	1.326930e+01	-4.191666e+00	-2.476636e+00	-1.715030e+00	-3.808028e-01	-2.897204e+00	1.342571e+00	-1.566221e-02	1.334740e+00	-1.350403e+00
13            	1.537980e+01	5.195198e+00	1.018460e+01	-3.606527e+00	-2.184264e+00	-1.422263e+00	-3.810002e-01	-2.494703e+00	9.110635e-01	-9.992024e-03	9.060675e-01	-9.160595e-01
14            	1.261786e+01	3.707463e+00	8.910392e+00	-3.279227e+00	-2.180345e+00	-1.098882e+00	-5.407318e-01	-2.601465e+00	5.621248e-01	-8.439458e-03	5.579051e-01	-5.663446e-01
15            	1.151785e+01	2.699291e+00	8.818555e+00	-2.536364e+00	-1.828272e+00	-7.080919e-01	-5.600900e-01	-3.059632e+00	1.402134e-01	-1.021703e-02	1.351049e-01	-1.453220e-01
16            	1.070375e+01	2.236956e+00	8.466790e+00	-1.896956e+00	-1.515604e+00	-3.813521e-01	-5.671258e-01	-3.114917e+00	2.286697e-01	-1.598009e-02	2.206797e-01	-2.366598e-01
17            	9.489901e+00	1.868826e+00	7.621075e+00	-1.360151e+00	-1.170132e+00	-1.900182e-01	-4.900571e-01	-2.876124e+00	7.550139e-01	-1.894436e-02	7.455417e-01	-7.644861e-01
18            	7.918572e+00	1.382825e+00	6.535747e+00	-8.314808e-01	-8.197468e-01	-1.173400e-02	-4.040064e-01	-2.576461e+00	1.152562e+00	-1.907967e-02	1.143022e+00	-1.162102e+00
19            	6.451352e+00	8.664295e-01	5.584923e+00	-3.303504e-01	-4.751127e-01	1.447623e-01	-3.099375e-01	-2.359247e+00	1.392711e+00	-1.648064e-02	1.384471e+00	-1.400952e+00
20            	5.367614e+00	6.358393e-01	4.731774e+00	1.422114e-01	-1.792325e-01	3.214439e-01	-2.503382e-01	-2.047968e+00	1.254404e+00	-1.115261e-02	1.248828e+00	-1.259980e+00
21            	4.642441e+00	5.110762e-01	4.131365e+00	4.911738e-01	3.674366e-02	4.544302e-01	-2.088433e-01	-1.810144e+00	9.119716e-01	-9.229961e-03	9.073566e-01	-9.165866e-01
22            	3.796505e+00	3.002958e-01	3.496209e+00	7.130638e-01	1.848678e-01	5.281959e-01	-1.716640e-01	-1.597957e+00	5.051647e-01	-5.625165e-03	5.023521e-01	-5.079773e-01
23            	3.021797e+00	1.288281e-01	2.892969e+00	8.008243e-01	2.568356e-01	5.439887e-01	-1.435765e-01	-1.382071e+00	1.960628e-01	-5.106322e-03	1.935096e-01	-1.986160e-01
24            	2.223871e+00	-8.647040e-02	2.310341e+00	7.846719e-01	2.769815e-01	5.076905e-01	-1.153545e-01	-1.198406e+00	-2.810898e-01	-2.080834e-03	-2.821302e-01	2.800493e-01
25            	1.587497e+00	-2.893121e-01	1.876809e+00	6.993898e-01	2.581331e-01	4.412566e-01	-9.156173e-02	-1.083060e+00	-4.259178e-01	-9.438017e-04	-4.263897e-01	4.254459e-01
26            	1.023640e+00	-3.364224e-01	1.360062e+00	5.301717e-01	1.896857e-01	3.404861e-01	-7.540020e-02	-8.482424e-01	-5.641879e-01	1.852803e-03	-5.632615e-01	5.651143e-01
27            	5.805697e-01	-2.084280e-01	7.889976e-01	3.920676e-01	1.372979e-01	2.547696e-01	-5.873585e-02	-4.987128e-01	-5.698012e-01	3.150737e-03	-5.682258e-01	5.713765e-01
28            	2.915262e-01	-2.786752e-02	3.193937e-01	2.475144e-01	7.749780e-02	1.700166e-01	-4.625939e-02	-1.736306e-01	-5.365317e-01	1.963420e-03	-5.355500e-01	5.375134e-01
