# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 7.140000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.007156e+02	1.008155e+02	9.990019e+01	2.626412e+00	1.145163e+00	1.481249e+00	-1.680430e-01	4.576328e-01	5.789029e-01	1.500097e-04	5.789779e-01	-5.788279e-01
2             	8.091982e+01	4.048284e+01	4.043698e+01	9.862113e-01	2.446787e-01	7.415327e-01	-2.484270e-01	2.293238e-02	-6.747639e-01	2.331364e-02	-6.631070e-01	6.864207e-01
3             	-8.658184e+01	-5.078796e+01	-3.579387e+01	-3.932756e+00	-3.450600e+00	-4.821556e-01	-1.484222e+00	-7.497046e+00	-4.618824e-01	-4.627232e-03	-4.641960e-01	4.595687e-01
4             	-9.515123e+01	-5.421009e+01	-4.094114e+01	-5.364849e+00	-3.806696e+00	-1.558154e+00	-1.124271e+00	-6.634475e+00	-1.297183e+01	7.200529e-02	-1.293583e+01	1.300783e+01
5             	-4.879915e+01	-2.687550e+01	-2.192365e+01	-4.209510e+00	-2.795094e+00	-1.414416e+00	-6.903390e-01	-2.475922e+00	-4.803759e+00	-9.676686e-03	-4.808598e+00	4.798921e+00
6             	-1.186717e+01	-8.007259e+00	-3.859910e+00	-2.224318e+00	-1.561393e+00	-6.629250e-01	-4.492340e-01	-2.073675e+00	8.197827e-01	-2.971142e-02	8.049270e-01	-8.346384e-01
7             	8.995064e+00	3.752214e+00	5.242850e+00	-1.982021e-01	-6.972591e-01	4.990569e-01	-5.981580e-01	-7.453182e-01	3.510155e+00	-5.549581e-02	3.482407e+00	-3.537903e+00
8             	1.490708e+01	7.557482e+00	7.349594e+00	2.969254e-01	-6.653296e-01	9.622550e-01	-8.137923e-01	1.039440e-01	4.306459e+00	-4.898971e-02	4.281964e+00	-4.330954e+00
9             	1.440800e+01	7.873680e+00	6.534320e+00	-4.166060e-01	-1.132128e+00	7.155225e-01	-9.238255e-01	6.696800e-01	3.977479e+00	-3.287423e-02	3.961042e+00	-3.993916e+00
10            	1.147794e+01	5.985568e+00	5.492370e+00	-1.204283e+00	-1.483016e+00	2.787332e-01	-8.808746e-01	2.465989e-01	3.748828e+00	-1.707146e-02	3.740293e+00	-3.757364e+00
11            	8.311475e+00	4.017601e+00	4.293874e+00	-1.921427e+00	-1.722091e+00	-1.993359e-01	-7.613774e-01	-1.381362e-01	2.519631e+00	-1.373407e-02	2.512764e+00	-2.526498e+00
12            	5.763802e+00	3.064023e+00	2.699778e+00	-2.705468e+00	-2.018017e+00	-6.874509e-01	-6.652831e-01	1.821225e-01	2.282588e+00	-1.269578e-02	2.276240e+00	-2.288935e+00
13            	3.446840e+00	2.398612e+00	1.048227e+00	-3.837985e+00	-2.526580e+00	-1.311405e+00	-6.075872e-01	6.751924e-01	1.834949e+00	-1.269547e-02	1.828601e+00	-1.841296e+00
14            	1.849598e+00	2.491346e+00	-6.417473e-01	-4.511901e+00	-2.821072e+00	-1.690830e+00	-5.651210e-01	1.566547e+00	1.929322e+00	-4.756446e-03	1.926943e+00	-1.931700e+00
15            	7.974881e-01	2.353398e+00	-1.555910e+00	-4.480851e+00	-2.723303e+00	-1.757548e+00	-4.828777e-01	1.954654e+00	1.803219e+00	1.152447e-02	1.808981e+00	-1.797457e+00
16            	1.197795e-01	2.161998e+00	-2.042219e+00	-3.899644e+00	-2.326069e+00	-1.573575e+00	-3.762470e-01	2.102109e+00	1.663194e+00	2.919125e-02	1.677790e+00	-1.648598e+00
17            	-2.562032e-01	1.725132e+00	-1.981335e+00	-3.080191e+00	-1.803237e+00	-1.276954e+00	-2.631417e-01	1.853234e+00	1.582068e+00	4.203519e-02	1.603086e+00	-1.561051e+00
18            	-4.894074e-01	1.478610e+00	-1.968018e+00	-2.221054e+00	-1.274309e+00	-9.467444e-01	-1.637825e-01	1.723314e+00	1.411574e+00	5.126512e-02	1.437206e+00	-1.385941e+00
19            	-5.238575e-01	1.230712e+00	-1.754569e+00	-1.504672e+00	-8.381929e-01	-6.664794e-01	-8.585675e-02	1.492640e+00	1.279935e+00	5.326915e-02	1.306569e+00	-1.253300e+00
