# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.250000e+01
# lRef        : 2.380000e-02
# Aref        : 7.140000e-03
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	2.237432e+02	1.118712e+02	1.118719e+02	-1.101847e-03	-6.209427e-04	-4.809044e-04	-7.001917e-05	-3.420663e-04	-1.304951e-03	-7.415120e-08	-1.304988e-03	1.304914e-03
2             	8.091160e+01	4.063970e+01	4.027189e+01	1.889924e-01	9.573809e-02	9.325430e-02	1.241896e-03	1.839045e-01	9.292852e-01	3.542591e-02	9.469981e-01	-9.115722e-01
3             	8.336144e+02	4.209137e+02	4.127007e+02	3.383609e+00	1.903216e+00	1.480392e+00	2.114121e-01	4.106529e+00	-3.709664e+01	-1.640997e-01	-3.717869e+01	3.701459e+01
4             	1.296640e+02	6.315055e+01	6.651342e+01	1.965031e+00	1.182197e+00	7.828342e-01	1.996812e-01	-1.681431e+00	-2.226114e+01	-1.678203e-01	-2.234505e+01	2.217723e+01
5             	-3.453241e+01	-1.785482e+01	-1.667759e+01	1.049675e+00	9.398324e-02	9.556920e-01	-4.308544e-01	-5.886176e-01	-1.201700e+01	-8.728711e-02	-1.206064e+01	1.197336e+01
6             	-3.507813e+00	2.332845e-01	-3.741098e+00	9.388443e-01	6.175015e-01	3.213428e-01	1.480794e-01	1.987191e+00	-6.068450e+00	3.888629e-02	-6.049007e+00	6.087893e+00
7             	1.361258e+01	6.227765e+00	7.384813e+00	4.157459e-01	8.273684e-01	-4.116225e-01	6.194955e-01	-5.785239e-01	1.259940e+00	8.351349e-02	1.301697e+00	-1.218184e+00
8             	1.493822e+01	7.410201e+00	7.528020e+00	-9.891003e-02	5.750600e-01	-6.739701e-01	6.245150e-01	-5.890971e-02	5.184393e+00	2.817452e-02	5.198480e+00	-5.170306e+00
9             	8.230070e+00	4.407386e+00	3.822683e+00	-6.766113e-01	2.765513e-01	-9.531626e-01	6.148569e-01	2.923515e-01	4.492953e+00	-1.562249e-02	4.485142e+00	-4.500764e+00
10            	1.316902e+01	6.713675e+00	6.455347e+00	-1.094457e+00	1.934174e-01	-1.287874e+00	7.406457e-01	1.291640e-01	4.276655e+00	-2.092875e-02	4.266191e+00	-4.287119e+00
11            	1.426687e+01	7.385181e+00	6.881686e+00	-1.434502e+00	-2.595010e-02	-1.408552e+00	6.913007e-01	2.517476e-01	-8.965729e-03	-1.122520e-02	-1.457833e-02	3.353131e-03
12            	1.793749e+01	9.374229e+00	8.563258e+00	-1.646867e+00	-3.929963e-01	-1.253870e+00	4.304370e-01	4.054858e-01	-1.459553e+00	-5.468979e-04	-1.459827e+00	1.459280e+00
13            	1.847568e+01	9.739456e+00	8.736223e+00	-1.774162e+00	-4.594287e-01	-1.314733e+00	4.276523e-01	5.016164e-01	-1.413709e+00	9.201120e-03	-1.409109e+00	1.418310e+00
14            	1.531004e+01	8.221979e+00	7.088058e+00	-1.725518e+00	-4.992571e-01	-1.226260e+00	3.635017e-01	5.669604e-01	5.088744e-01	9.815068e-03	5.137819e-01	-5.039668e-01
15            	1.034225e+01	6.246259e+00	4.095994e+00	-1.599699e+00	-5.914235e-01	-1.008276e+00	2.084261e-01	1.075133e+00	2.260822e+00	1.115634e-02	2.266400e+00	-2.255244e+00
16            	6.382514e+00	4.563659e+00	1.818855e+00	-1.411073e+00	-5.771367e-01	-8.339360e-01	1.283997e-01	1.372402e+00	3.383900e+00	7.791973e-03	3.387796e+00	-3.380004e+00
17            	4.247176e+00	3.849655e+00	3.975211e-01	-1.253097e+00	-5.737367e-01	-6.793598e-01	5.281160e-02	1.726067e+00	3.811802e+00	3.276226e-03	3.813440e+00	-3.810164e+00
18            	3.320252e+00	3.419806e+00	-9.955460e-02	-1.030550e+00	-5.118473e-01	-5.187028e-01	3.427768e-03	1.759680e+00	2.893930e+00	3.267855e-03	2.895564e+00	-2.892296e+00
19            	2.746163e+00	3.131403e+00	-3.852405e-01	-7.654421e-01	-4.359373e-01	-3.295048e-01	-5.321626e-02	1.758322e+00	1.402324e+00	5.214327e-03	1.404931e+00	-1.399717e+00
20            	2.058415e+00	2.618490e+00	-5.600750e-01	-4.705754e-01	-3.354292e-01	-1.351461e-01	-1.001415e-01	1.589282e+00	6.938469e-01	8.773313e-03	6.982335e-01	-6.894602e-01
21            	1.767237e+00	2.168357e+00	-4.011208e-01	-1.899635e-01	-1.890631e-01	-9.004944e-04	-9.408128e-02	1.284739e+00	-3.597441e-01	1.599330e-02	-3.517475e-01	3.677408e-01
22            	1.562747e+00	1.679076e+00	-1.163290e-01	-8.118994e-02	-1.356981e-01	5.450816e-02	-9.510313e-02	8.977026e-01	-7.824136e-01	2.261675e-02	-7.711053e-01	7.937220e-01
23            	1.566273e+00	1.269716e+00	2.965575e-01	-7.913274e-02	-1.049844e-01	2.585166e-02	-6.541803e-02	4.865790e-01	-1.131161e+00	2.696432e-02	-1.117679e+00	1.144643e+00
24            	1.457625e+00	7.829383e-01	6.746867e-01	-1.062399e-01	-1.100377e-01	3.797743e-03	-5.691772e-02	5.412583e-02	-1.060400e+00	2.677784e-02	-1.047011e+00	1.073789e+00
25            	1.532817e+00	4.296022e-01	1.103215e+00	-1.206064e-01	-1.025223e-01	-1.808410e-02	-4.221910e-02	-3.368065e-01	-8.536918e-01	2.411046e-02	-8.416365e-01	8.657470e-01
26            	1.501567e+00	1.695757e-01	1.331991e+00	-1.553910e-01	-8.318221e-02	-7.220880e-02	-5.486702e-03	-5.812077e-01	-7.764946e-01	1.929200e-02	-7.668486e-01	7.861406e-01
27            	1.591447e+00	-3.315679e-03	1.594763e+00	-1.798739e-01	-6.987408e-02	-1.099999e-01	2.006289e-02	-7.990393e-01	-7.576538e-01	1.539724e-02	-7.499552e-01	7.653524e-01
